datetime,country,import_mw,export_mw,scheduled_foreign_exchange_mw
2026-06-30 13:00:00,Greece,250.0,0.0,250.0
2026-06-30 13:00:00,France,2647.7,0.0,2647.7
2026-06-30 13:00:00,Corsica,0.0,115.0,-115.0
2026-06-30 13:00:00,Austria,425.0,0.0,425.0
2026-06-30 13:00:00,Switzerland,1928.0,0.0,1928.0
2026-06-30 12:45:00,Austria,425.0,0.0,425.0
2026-06-30 12:45:00,Corsica,0.0,110.0,-110.0
2026-06-30 12:45:00,France,2371.8,0.0,2371.8
2026-06-30 12:45:00,Greece,250.0,0.0,250.0
2026-06-30 12:45:00,Malta,0.0,214.0,-214.0
2026-06-30 12:45:00,Montenegro,503.0,0.0,503.0
2026-06-30 12:45:00,Slovenia,439.4,0.0,439.4
2026-06-30 12:45:00,Switzerland,1828.0,0.0,1828.0
2026-06-30 12:30:00,Switzerland,1828.0,0.0,1828.0
2026-06-30 12:30:00,Austria,425.0,0.0,425.0
2026-06-30 12:30:00,Corsica,0.0,110.0,-110.0
2026-06-30 12:30:00,France,2189.8,0.0,2189.8
2026-06-30 12:30:00,Greece,250.0,0.0,250.0
2026-06-30 12:30:00,Malta,0.0,212.0,-212.0
2026-06-30 12:30:00,Slovenia,422.2,0.0,422.2
2026-06-30 12:30:00,Montenegro,503.0,0.0,503.0
2026-06-30 12:15:00,Slovenia,402.5,0.0,402.5
2026-06-30 12:15:00,Montenegro,503.0,0.0,503.0
2026-06-30 12:15:00,Malta,0.0,209.0,-209.0
2026-06-30 12:15:00,Greece,250.0,0.0,250.0
2026-06-30 12:15:00,France,2461.3,0.0,2461.3
2026-06-30 12:15:00,Corsica,0.0,110.0,-110.0
2026-06-30 12:15:00,Austria,425.0,0.0,425.0
2026-06-30 12:15:00,Switzerland,1828.0,0.0,1828.0
2026-06-30 12:00:00,Slovenia,382.9,0.0,382.9
2026-06-30 12:00:00,Montenegro,503.0,0.0,503.0
2026-06-30 12:00:00,Malta,0.0,209.0,-209.0
2026-06-30 12:00:00,Greece,250.0,0.0,250.0
2026-06-30 12:00:00,France,2382.0,0.0,2382.0
2026-06-30 12:00:00,Corsica,0.0,110.0,-110.0
2026-06-30 12:00:00,Austria,425.0,0.0,425.0
2026-06-30 12:00:00,Switzerland,1828.0,0.0,1828.0
2026-06-30 11:45:00,Austria,334.0,0.0,334.0
2026-06-30 11:45:00,Corsica,0.0,111.0,-111.0
2026-06-30 11:45:00,France,2382.0,0.0,2382.0
2026-06-30 11:45:00,Greece,250.0,0.0,250.0
2026-06-30 11:45:00,Malta,0.0,209.0,-209.0
2026-06-30 11:45:00,Montenegro,509.0,0.0,509.0
2026-06-30 11:45:00,Slovenia,297.6,0.0,297.6
2026-06-30 11:45:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 11:30:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 11:30:00,Austria,334.0,0.0,334.0
2026-06-30 11:30:00,Corsica,0.0,111.0,-111.0
2026-06-30 11:30:00,France,2382.0,0.0,2382.0
2026-06-30 11:30:00,Greece,250.0,0.0,250.0
2026-06-30 11:30:00,Malta,0.0,209.0,-209.0
2026-06-30 11:30:00,Slovenia,203.4,0.0,203.4
2026-06-30 11:30:00,Montenegro,509.0,0.0,509.0
2026-06-30 11:15:00,Slovenia,202.5,0.0,202.5
2026-06-30 11:15:00,Montenegro,509.0,0.0,509.0
2026-06-30 11:15:00,Malta,0.0,210.0,-210.0
2026-06-30 11:15:00,Greece,250.0,0.0,250.0
2026-06-30 11:15:00,France,2382.0,0.0,2382.0
2026-06-30 11:15:00,Corsica,0.0,111.0,-111.0
2026-06-30 11:15:00,Austria,334.0,0.0,334.0
2026-06-30 11:15:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 11:00:00,Slovenia,226.5,0.0,226.5
2026-06-30 11:00:00,Montenegro,509.0,0.0,509.0
2026-06-30 11:00:00,Malta,0.0,212.0,-212.0
2026-06-30 11:00:00,Greece,250.0,0.0,250.0
2026-06-30 11:00:00,France,2382.0,0.0,2382.0
2026-06-30 11:00:00,Corsica,0.0,111.0,-111.0
2026-06-30 11:00:00,Austria,334.0,0.0,334.0
2026-06-30 11:00:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 10:45:00,Malta,0.0,203.0,-203.0
2026-06-30 10:45:00,Montenegro,508.0,0.0,508.0
2026-06-30 10:45:00,Slovenia,238.0,0.0,238.0
2026-06-30 10:45:00,Greece,250.0,0.0,250.0
2026-06-30 10:45:00,France,2382.0,0.0,2382.0
2026-06-30 10:45:00,Corsica,0.0,114.0,-114.0
2026-06-30 10:45:00,Austria,334.0,0.0,334.0
2026-06-30 10:45:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 10:30:00,France,2382.0,0.0,2382.0
2026-06-30 10:30:00,Corsica,0.0,114.0,-114.0
2026-06-30 10:30:00,Austria,334.0,0.0,334.0
2026-06-30 10:30:00,Greece,250.0,0.0,250.0
2026-06-30 10:30:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 10:30:00,Slovenia,239.7,0.0,239.7
2026-06-30 10:30:00,Montenegro,508.0,0.0,508.0
2026-06-30 10:30:00,Malta,0.0,193.0,-193.0
2026-06-30 10:15:00,Slovenia,280.9,0.0,280.9
2026-06-30 10:15:00,Montenegro,508.0,0.0,508.0
2026-06-30 10:15:00,Malta,0.0,197.0,-197.0
2026-06-30 10:15:00,Austria,334.0,0.0,334.0
2026-06-30 10:15:00,Corsica,0.0,114.0,-114.0
2026-06-30 10:15:00,France,2382.0,0.0,2382.0
2026-06-30 10:15:00,Greece,250.0,0.0,250.0
2026-06-30 10:15:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 10:00:00,France,2382.0,0.0,2382.0
2026-06-30 10:00:00,Greece,250.0,0.0,250.0
2026-06-30 10:00:00,Malta,0.0,198.0,-198.0
2026-06-30 10:00:00,Montenegro,508.0,0.0,508.0
2026-06-30 10:00:00,Slovenia,272.0,0.0,272.0
2026-06-30 10:00:00,Switzerland,1423.0,0.0,1423.0
2026-06-30 10:00:00,Austria,334.0,0.0,334.0
2026-06-30 10:00:00,Corsica,0.0,114.0,-114.0
2026-06-30 09:45:00,Austria,334.0,0.0,334.0
2026-06-30 09:45:00,Corsica,0.0,123.0,-123.0
2026-06-30 09:45:00,France,2382.0,0.0,2382.0
2026-06-30 09:45:00,Greece,250.0,0.0,250.0
2026-06-30 09:45:00,Malta,0.0,188.0,-188.0
2026-06-30 09:45:00,Montenegro,463.0,0.0,463.0
