datetime,total_load_mw,forecast_total_load_mw,bidding_zone
2026-06-30 17:30:00,4415.41,4617.732,Centre-North
2026-06-30 17:30:00,9088.722,9505.184,Centre-South
2026-06-30 17:30:00,30435.119,31829.711,North
2026-06-30 17:30:00,1386.341,1449.866,Sardinia
2026-06-30 17:30:00,3178.91,3324.573,South
2026-06-30 17:30:00,3171.267,3316.58,Sicily
2026-06-30 17:15:00,3227.582,3375.707,South
2026-06-30 17:15:00,3192.838,3339.368,Sicily
2026-06-30 17:15:00,1383.972,1447.488,Sardinia
2026-06-30 17:15:00,30593.13,31997.155,North
2026-06-30 17:15:00,9234.282,9658.076,Centre-South
2026-06-30 17:15:00,4483.623,4689.392,Centre-North
2026-06-30 17:15:00,1421.573,1486.814,Calabria
2026-06-30 17:15:00,53537.0,55994.0,Italy
2026-06-30 17:00:00,3262.446,3404.876,South
2026-06-30 17:00:00,3187.343,3326.493,Sicily
2026-06-30 17:00:00,1341.211,1399.764,Sardinia
2026-06-30 17:00:00,30889.468,32238.018,North
2026-06-30 17:00:00,9241.216,9644.662,Centre-South
2026-06-30 17:00:00,4578.979,4778.884,Centre-North
2026-06-30 17:00:00,1419.337,1481.301,Calabria
2026-06-30 17:00:00,53920.0,56273.998,Italy
2026-06-30 16:45:00,1351.616,1398.248,Calabria
2026-06-30 16:45:00,4702.015,4864.239,Centre-North
2026-06-30 16:45:00,9383.048,9706.772,Centre-South
2026-06-30 16:45:00,31477.55,32563.555,North
2026-06-30 16:45:00,1353.708,1400.412,Sardinia
2026-06-30 16:45:00,3320.705,3435.273,Sicily
2026-06-30 16:45:00,3395.358,3512.501,South
2026-06-30 16:45:00,54984.0,56881.0,Italy
2026-06-30 16:30:00,55198.999,57185.998,Italy
2026-06-30 16:30:00,1299.763,1346.551,Calabria
2026-06-30 16:30:00,4716.375,4886.151,Centre-North
2026-06-30 16:30:00,9379.549,9717.184,Centre-South
2026-06-30 16:30:00,31603.432,32741.061,North
2026-06-30 16:30:00,1386.226,1436.126,Sardinia
2026-06-30 16:30:00,3541.121,3668.591,South
2026-06-30 16:30:00,3272.533,3390.334,Sicily
2026-06-30 16:15:00,3641.617,3768.102,South
2026-06-30 16:15:00,3271.473,3385.102,Sicily
2026-06-30 16:15:00,1462.897,1513.708,Sardinia
2026-06-30 16:15:00,31503.475,32597.686,North
2026-06-30 16:15:00,9416.064,9743.112,Centre-South
2026-06-30 16:15:00,4698.746,4861.948,Centre-North
2026-06-30 16:15:00,1255.727,1299.342,Calabria
2026-06-30 16:15:00,55249.999,57169.0,Italy
2026-06-30 16:00:00,3599.516,3739.206,South
2026-06-30 16:00:00,3163.796,3286.576,Sicily
2026-06-30 16:00:00,1429.762,1485.249,Sardinia
