region,plant_type,source,connection_status,power_mw,num_requests
LAZIO,FER,Biomasse,STMG da accettare,23.25,1
VENETO,FER,Idroelettrico,Progetti con nulla osta,22.95,1
CALABRIA,FER,Eolico on-shore,STMD/Contratti,21.5,1
CALABRIA,FER,Idroelettrico,STMG da accettare,20.0,1
TOSCANA,FER,Geotermico,STMG accettate,20.0,1
LAZIO,FER,Idroelettrico,STMD/Contratti,19.76,1
TOSCANA,FER,Geotermico,Progetti con nulla osta,17.5,2
PIEMONTE,FER,Biomasse,Progetti in valutazione,16.0,1
SICILIA,FER,Biomasse,STMG accettate,15.5,1
TRENTINO-ALTO ADIGE,FER,Idroelettrico,STMG accettate,15.0,1
VENETO,FER,Biomasse,Progetti con nulla osta,12.5,1
PIEMONTE,FER,Idroelettrico,STMG accettate,10.385,2
PUGLIA,FER,Biomasse,STMG accettate,10.0,1
PUGLIA,FER,Biomasse,Progetti con nulla osta,10.0,1
LAZIO,FER,Biomasse,Progetti con nulla osta,10.0,1
SARDEGNA,FER,Idroelettrico,STMG accettate,6.356,1
TOSCANA,FER,Geotermico,STMG da accettare,4.701,1
LIGURIA,FER,Solare,STMG accettate,0.0828,1
